date,title,transcript_url
"October 14, 2014","Press Briefing by Press Secretary Josh Earnest, 10/14/2014",/the-press-office/2014/10/14/press-briefing-press-secretary-josh-earnest-10142014
"October 06, 2014","Press Briefing by Press Secretary Josh Earnest, 10/6/2014",/the-press-office/2014/10/06/press-briefing-press-secretary-josh-earnest-1062014
"October 03, 2014","Press Briefing on Government Response to the Ebola Epidemic in West Africa, 10/3/2014",/the-press-office/2014/10/03/press-briefing-government-response-ebola-epidemic-west-africa-1032014
date,title,transcript_url
"October 01, 2014","Press Briefing by Press Secretary Josh Earnest, 10/1/2014",/the-press-office/2014/10/01/press-briefing-press-secretary-josh-earnest-1012014
"September 30, 2014","Press Briefing by Press Secretary Josh Earnest, 9/30/2014",/the-press-office/2014/09/30/press-briefing-press-secretary-josh-earnest-9302014
"September 29, 2014","Press Briefing by Press Secretary Josh Earnest, 9/29/2014",/the-press-office/2014/09/29/press-briefing-press-secretary-josh-earnest-9292014
"September 27, 2014","Press Briefing by Press Secretary Josh Earnest, 9/26/2014",/the-press-office/2014/09/27/press-briefing-press-secretary-josh-earnest-9262014
"September 26, 2014","Press Briefing by Press Secretary Josh Earnest, 9/26/2014",/the-press-office/2014/09/26/press-briefing-press-secretary-josh-earnest-9262014
"September 22, 2014","Press Briefing by Press Secretary Josh Earnest, 9/22/2014",/the-press-office/2014/09/22/press-briefing-press-secretary-josh-earnest-9222014
"September 19, 2014","Press Briefing by Press Secretary Josh Earnest, 9/19/2014",/the-press-office/2014/09/19/press-briefing-press-secretary-josh-earnest-9192014
date,title,transcript_url
"September 18, 2014","Press Briefing by Press Secretary Josh Earnest, 9/18/2014",/the-press-office/2014/09/18/press-briefing-press-secretary-josh-earnest-9182014
"September 15, 2014","Press Briefing by Press Secretary Josh Earnest, 9/15/2014",/the-press-office/2014/09/15/press-briefing-press-secretary-josh-earnest-9152014
"September 12, 2014","Press Briefing by Press Secretary Josh Earnest, 9/12/2014",/the-press-office/2014/09/12/press-briefing-press-secretary-josh-earnest-9122014
"September 11, 2014","Press Briefing by Press Secretary Josh Earnest, 9/11/2014",/the-press-office/2014/09/11/press-briefing-press-secretary-josh-earnest-9112014
"September 09, 2014","Press Briefing by Press Secretary Josh Earnest, 9/9/2014",/the-press-office/2014/09/09/press-briefing-press-secretary-josh-earnest-992014
"September 08, 2014","Press Briefing by Press Secretary Josh Earnest, 9/8/2014",/the-press-office/2014/09/08/press-briefing-press-secretary-josh-earnest-982014
"September 02, 2014","Press Briefing by Press Secretary Josh Earnest, 9/2/2014",/the-press-office/2014/09/02/press-briefing-press-secretary-josh-earnest-922014
"August 27, 2014","Press Briefing by Press Secretary Josh Earnest, 8/27/2014",/the-press-office/2014/08/27/press-briefing-press-secretary-josh-earnest-8272014
date,title,transcript_url
"August 25, 2014","Press Briefing by Press Secretary Josh Earnest, 8/25/2014",/the-press-office/2014/08/25/press-briefing-press-secretary-josh-earnest-8252014
